"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
6.32,4,2.25,0.63,"mythica"
6.24,3.62,2.64,0.56,"mythica"
6.41,3.04,1.85,0.85,"mythica"
6.06,3.04,2.71,0.94,"mythica"
6.68,3.07,2.24,0.81,"mythica"
6.63,3.61,2.51,0.52,"mythica"
6.59,3.88,2.48,0.85,"mythica"
6.06,3.68,2.56,0.76,"mythica"
6.04,3.01,1.69,0.58,"mythica"
6.7,3.23,3.14,0.53,"mythica"
6.06,3.26,1.99,0.77,"mythica"
6.08,3.44,2.08,0.59,"mythica"
6.53,3.45,3.39,0.56,"mythica"
6.17,3.19,2.25,0.64,"mythica"
6.15,3.59,2.54,0.82,"mythica"
6.03,3.89,1.81,0.8,"mythica"
6.54,3.12,1.67,0.55,"mythica"
6.4,3.66,3.37,0.51,"mythica"
6.48,3.67,1.72,0.8,"mythica"
6.5,3.33,1.75,0.72,"mythica"
6.4,3.17,1.7,0.63,"mythica"
6.72,3.99,2.72,0.75,"mythica"
6.47,3.07,1.78,0.73,"mythica"
6.81,3.69,3.09,0.52,"mythica"
6.25,3.5,3.47,0.62,"mythica"
6.24,3.03,1.99,0.84,"mythica"
6.3,3.33,2.24,0.65,"mythica"
6.82,3.1,1.73,0.6,"mythica"
6.26,3.89,2.76,0.52,"mythica"
6.76,3.38,3.05,0.74,"mythica"
6.41,3.65,2.43,0.95,"mythica"
6.52,3.72,3.4,0.89,"mythica"
6.63,3.42,1.84,0.57,"mythica"
6.36,3.54,1.72,0.83,"mythica"
6.39,3.63,2.9,0.8,"mythica"
6.37,3.39,2.83,0.77,"mythica"
6.13,3.3,2.62,0.62,"mythica"
6.81,3.95,2.09,0.97,"mythica"
6.42,3.3,2.97,0.55,"mythica"
6.86,3.39,3.28,0.79,"mythica"
6.98,3.43,1.53,0.96,"mythica"
6.37,3.53,2.4,0.77,"mythica"
6.07,3.96,2.4,0.67,"mythica"
6.82,3.49,1.79,0.88,"mythica"
6.37,3.11,2.22,0.76,"mythica"
6.64,3.11,2.85,0.67,"mythica"
6.39,3.06,2.65,0.91,"mythica"
6.53,3.59,2.57,0.68,"mythica"
6.08,3.55,3.48,0.73,"mythica"
6.06,3.55,2.44,0.71,"mythica"
